id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type,mpn,shipping
acura-engine-001,"Used Acura Engine - OEM Quality | AUAPW.ORG","Quality used Acura engines from verified salvage yards. Compression tested, low mileage, with 6-month warranty.",https://www.auapw.org/makes/acura/parts/engine,https://www.auapw.org/images/parts/engine-used.jpg,2500.00 USD,in stock,used,Acura,5613,"Auto Parts > Drivetrain > Engine",,US:Standard:0 USD
acura-transmission-001,"Used Acura Transmission - OEM Quality | AUAPW.ORG","Used Acura automatic and manual transmissions. Low mileage, tested, with warranty. All models available.",https://www.auapw.org/makes/acura/parts/transmission,https://www.auapw.org/images/parts/transmission-used.jpg,1500.00 USD,in stock,used,Acura,5613,"Auto Parts > Drivetrain > Transmission",,US:Standard:0 USD
acura-alternator-001,"Used Acura Alternator - OEM Quality | AUAPW.ORG","Quality used Acura alternators from verified salvage yards. Tested for proper voltage output, 6-month warranty.",https://www.auapw.org/makes/acura/parts/alternator,https://www.auapw.org/images/parts/starter-used.jpg,250.00 USD,in stock,used,Acura,5613,"Auto Parts > Electrical > Alternator",31100-R40-A01,US:Standard:0 USD
acura-starter-001,"Used Acura Starter Motor - OEM Quality | AUAPW.ORG","Used Acura starter motors. Bench tested, strong cranking power, warranty included.",https://www.auapw.org/makes/acura/parts/starter-motor,https://www.auapw.org/images/parts/starter-used.jpg,120.00 USD,in stock,used,Acura,5613,"Auto Parts > Electrical > Starter Motor",,US:Standard:0 USD
acura-ecu-001,"Used Acura ECU / Engine Computer - OEM Quality | AUAPW.ORG","Used Acura ECU modules. Programmed and tested, VIN-matched when needed. All models available.",https://www.auapw.org/makes/acura/parts/ecu-computer,https://www.auapw.org/images/parts/ac-control-used.jpg,300.00 USD,in stock,used,Acura,5613,"Auto Parts > Electrical > ECU / Engine Computer",,US:Standard:0 USD
acura-headlight-001,"Used Acura Headlight Assembly - OEM Quality | AUAPW.ORG","Used Acura headlight assemblies. OEM quality, tested bulbs, clear lenses. Left and right available.",https://www.auapw.org/makes/acura/parts/headlight-assembly,https://www.auapw.org/images/parts/headlight-used.jpg,200.00 USD,in stock,used,Acura,5613,"Auto Parts > Lighting > Headlight Assembly",,US:Standard:0 USD
acura-taillight-001,"Used Acura Taillight Assembly - OEM Quality | AUAPW.ORG","Used Acura taillight assemblies. OEM quality, complete with bulbs, no cracks.",https://www.auapw.org/makes/acura/parts/taillight-assembly,https://www.auapw.org/images/parts/headlight-used.jpg,149.99 USD,in stock,used,Acura,5613,"Auto Parts > Lighting > Taillight Assembly",,US:Standard:0 USD
acura-radiator-001,"Used Acura Radiator - OEM Quality | AUAPW.ORG","Used Acura radiators. Pressure tested, no leaks, with cooling fan. All models in stock.",https://www.auapw.org/makes/acura/parts/radiator,https://www.auapw.org/images/parts/radiator-used.jpg,149.99 USD,in stock,used,Acura,5613,"Auto Parts > Cooling System > Radiator",,US:Standard:0 USD
acura-ac-compressor-001,"Used Acura A/C Compressor - OEM Quality | AUAPW.ORG","Used Acura A/C compressors. Tested for proper operation, includes clutch assembly.",https://www.auapw.org/makes/acura/parts/ac-compressor,https://www.auapw.org/images/parts/ac-control-used.jpg,250.00 USD,in stock,used,Acura,5613,"Auto Parts > Climate Control > A/C Compressor",,US:Standard:0 USD
acura-control-arm-001,"Used Acura Control Arm - OEM Quality | AUAPW.ORG","Used Acura control arms. Inspected bushings, ball joints tested. Upper and lower available.",https://www.auapw.org/makes/acura/parts/control-arm,https://www.auapw.org/images/parts/abs-module-used.jpg,100.00 USD,in stock,used,Acura,5613,"Auto Parts > Suspension > Control Arm",,US:Standard:0 USD
acura-strut-001,"Used Acura Strut Assembly - OEM Quality | AUAPW.ORG","Used Acura strut assemblies. Complete with spring, mount, and bearing.",https://www.auapw.org/makes/acura/parts/strut-assembly,https://www.auapw.org/images/parts/abs-module-used.jpg,200.00 USD,in stock,used,Acura,5613,"Auto Parts > Suspension > Strut Assembly",,US:Standard:0 USD
